Symbol,Conviction Level,Priority Score,Momentum Regime,Convergence Regime,RSI21 Spread (D/W),RSI21 Avg,Daily-Weekly Gradient,Signals
BLSE,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,1.18,75.34,-2.37,MOMENTUM|RSI_STACK|CONVERGENT
E2E,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,0.14,72.62,0.27,MOMENTUM|RSI_STACK|CONVERGENT
UNIVASTU,L3_CONVERGENT,85,DECELERATING,MATURE_CONVERGENT,0.18,78.68,-0.36,MOMENTUM|RSI_STACK|CONVERGENT
IRISDOREME,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,1.51,78.39,3.03,MOMENTUM|RSI_STACK|CONVERGENT
INDOTECH,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,1.43,72.4,-2.85,MOMENTUM|RSI_STACK|CONVERGENT
HAPPYFORGE,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,0.08,76.73,-0.15,MOMENTUM|RSI_STACK|CONVERGENT
RRKABEL,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,2.2,71.9,-4.41,MOMENTUM|RSI_STACK|CONVERGENT
HMVL,L3_CONVERGENT,85,DECELERATING,MATURE_CONVERGENT,0.66,70.98,1.31,MOMENTUM|RSI_STACK|CONVERGENT
KABRAEXTRU,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,0.18,76.85,0.37,MOMENTUM|RSI_STACK|CONVERGENT
SAILIFE,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,1.6,72.67,-3.19,MOMENTUM|RSI_STACK|CONVERGENT
FILATEX,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,0.12,73.57,-0.24,MOMENTUM|RSI_STACK|CONVERGENT
SANSERA,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,2.74,76.26,-5.48,MOMENTUM|RSI_STACK|CONVERGENT
ATHERENERG,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,2.51,75.02,-5.02,MOMENTUM|RSI_STACK|CONVERGENT
MOREPENLAB,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,1.36,73.51,2.72,MOMENTUM|RSI_STACK|CONVERGENT
SONACOMS,L3_CONVERGENT,85,SUSTAINED,MATURE_CONVERGENT,0.89,74.31,-1.79,MOMENTUM|RSI_STACK|CONVERGENT
